is_80s,is_90s,is_y2k,has_3d_emblem,has_single_stitch,is_vtg,size_s,size_m,size_l,size_xl,has_location,is_event_tee,has_year,condition,sold_price
0,0,0,0,0,1,0,0,1,0,0,0,0,3,115.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,49.99
0,1,0,0,0,1,0,0,0,1,0,0,0,3,38.21
0,1,0,0,0,1,0,0,0,1,0,0,0,3,23.4
0,1,0,1,0,1,0,0,0,1,0,0,0,3,72.87
0,1,0,0,1,1,0,0,0,1,0,0,0,3,13.57
0,0,0,0,1,1,0,0,0,1,0,0,1,3,19.95
0,1,0,0,0,1,0,0,0,1,0,0,0,3,30.0
0,0,0,0,0,1,0,0,0,1,1,0,0,3,21.25
0,0,0,0,0,1,0,0,0,0,0,0,0,3,17.0
0,0,0,0,0,1,0,0,1,0,0,1,0,3,12.0
0,0,0,0,0,0,0,0,0,1,0,0,0,3,17.42
0,0,1,0,0,1,0,0,0,1,0,0,0,3,20.0
0,1,0,1,0,1,0,0,0,1,0,0,0,3,49.99
0,1,0,0,0,1,0,0,0,1,0,0,0,3,25.0
0,1,0,0,0,1,0,0,0,1,0,1,1,3,29.99
0,1,0,0,0,1,0,0,1,0,1,0,0,3,15.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,24.95
0,0,0,0,0,1,0,0,0,1,1,0,1,3,69.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,16.49
0,0,0,0,0,1,0,1,0,0,0,0,1,3,149.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,22.97
0,1,0,0,0,1,0,0,0,1,0,0,0,3,17.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,19.99
0,1,0,0,0,1,0,0,0,1,0,0,0,3,39.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,20.35
0,1,0,0,0,1,0,0,0,1,0,0,0,3,78.77
0,1,0,0,0,1,0,0,1,0,0,0,0,3,26.99
0,1,0,0,0,1,0,1,0,0,0,0,0,3,39.95
0,0,0,0,0,1,0,0,0,1,0,0,1,3,29.99
0,1,0,0,0,1,0,0,1,0,0,0,0,3,28.45
0,0,0,0,0,1,0,0,1,0,0,0,1,3,38.24
0,0,0,0,0,1,0,0,0,1,0,0,0,3,26.88
0,0,1,0,0,1,0,0,1,0,0,0,0,3,48.01
0,0,0,0,0,1,0,0,0,1,0,0,1,3,22.0
0,0,1,0,0,1,0,0,0,1,0,0,0,3,60.0
0,0,0,0,0,1,0,0,0,1,1,0,0,3,30.0
0,1,0,0,0,1,0,0,0,1,0,1,1,3,25.0
0,0,1,0,0,1,0,0,1,0,0,0,0,3,24.03
1,0,0,0,0,1,0,0,1,0,0,0,0,3,99.95
0,1,0,0,0,1,0,0,0,1,0,0,0,3,31.99
0,0,0,1,0,1,0,0,0,1,0,0,1,3,175.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,60.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,19.99
0,0,0,0,0,1,1,0,0,0,0,0,0,3,69.99
1,0,0,0,0,1,1,0,0,0,0,0,0,3,75.0
0,0,0,0,0,1,0,0,1,0,0,0,1,3,99.0
1,0,0,0,0,1,0,1,0,0,1,0,0,3,148.98
